accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
OR478360.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,416,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR595252.1,Nemipterus japonicus,Actinopterygii,16S rRNA,560,Arabian Sea,"Nemipterus japonicus voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR811582.1,Pempheris rhomboidea,Actinopterygii,Control Region,895,Red Sea,"Pempheris rhomboidea voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR682317.1,Sardinella longiceps,Actinopterygii,COI,716,Arabian Sea,"Sardinella longiceps voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR510106.1,Carcharhinus limbatus,Elasmobranchii,16S rRNA,547,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR909504.1,Lethrinus nebulosus,Actinopterygii,12S rRNA,381,Red Sea,"Lethrinus nebulosus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR797639.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,396,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR772324.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,449,Arabian Sea,"Lutjanus argentimaculatus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_818444,Carcharhinus limbatus,Elasmobranchii,12S rRNA,439,Arabian Sea,"Carcharhinus limbatus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR761725.1,Katsuwonus pelamis,Actinopterygii,CYTB,938,Laccadive Sea,"Katsuwonus pelamis voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR498752.1,Rastrelliger kanagurta,Actinopterygii,COI,600,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR767067.1,Rastrelliger kanagurta,Actinopterygii,COI,628,Bay of Bengal,"Rastrelliger kanagurta voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR384694.1,Lethrinus nebulosus,Actinopterygii,CYTB,865,Indian Ocean,"Lethrinus nebulosus voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR236596.1,Epinephelus coioides,Actinopterygii,COI,615,Laccadive Sea,"Epinephelus coioides voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR417862.1,Taeniura lymma,Elasmobranchii,COI,680,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR909758.1,Sarda orientalis,Actinopterygii,12S rRNA,400,Gulf of Oman,"Sarda orientalis voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR230170.1,Nemipterus japonicus,Actinopterygii,COI,692,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR994150.1,Sarda orientalis,Actinopterygii,12S rRNA,448,Western Indian Ocean,"Sarda orientalis voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_557235,Epinephelus coioides,Actinopterygii,CYTB,819,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR360032.1,Pempheris rhomboidea,Actinopterygii,COI,601,Bay of Bengal,"Pempheris rhomboidea voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR429999.1,Galeocerdo cuvier,Elasmobranchii,COI,687,Bay of Bengal,"Galeocerdo cuvier voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR870724.1,Chaetodon pictus,Actinopterygii,COI,705,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR120119.1,Sardinella longiceps,Actinopterygii,12S rRNA,400,Red Sea,"Sardinella longiceps voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR777804.1,Scomberomorus commerson,Actinopterygii,COI,691,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR812865.1,Pempheris rhomboidea,Actinopterygii,COI,603,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR100339.1,Carcharhinus limbatus,Elasmobranchii,Control Region,1005,Indian Ocean,"Carcharhinus limbatus voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR567922.1,Sphyrna lewini,Elasmobranchii,12S rRNA,426,Western Indian Ocean,"Sphyrna lewini voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR842260.1,Sphyrna lewini,Elasmobranchii,COI,677,Gulf of Oman,"Sphyrna lewini voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_127103,Nemipterus japonicus,Actinopterygii,12S rRNA,409,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR450018.1,Epinephelus coioides,Actinopterygii,12S rRNA,384,Bay of Bengal,"Epinephelus coioides voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR967890.1,Lethrinus nebulosus,Actinopterygii,16S rRNA,502,Gulf of Oman,"Lethrinus nebulosus voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR509831.1,Scomberomorus commerson,Actinopterygii,COI,691,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR876615.1,Pempheris rhomboidea,Actinopterygii,COI,693,Bay of Bengal,"Pempheris rhomboidea voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR757298.1,Rhynchobatus djiddensis,Elasmobranchii,COI,708,Bay of Bengal,"Rhynchobatus djiddensis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR448094.1,Sarda orientalis,Actinopterygii,12S rRNA,433,Arabian Sea,"Sarda orientalis voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR870265.1,Taeniura lymma,Elasmobranchii,Control Region,885,Red Sea,"Taeniura lymma voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR344867.1,Rastrelliger kanagurta,Actinopterygii,16S rRNA,586,Bay of Bengal,"Rastrelliger kanagurta voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR170627.1,Sphyrna lewini,Elasmobranchii,COI,696,Western Indian Ocean,"Sphyrna lewini voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_688064,Lethrinus nebulosus,Actinopterygii,COI,678,Gulf of Oman,"Lethrinus nebulosus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR271981.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,413,Laccadive Sea,"Rastrelliger kanagurta voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR881254.1,Pampus argenteus,Actinopterygii,COI,601,Arabian Sea,"Pampus argenteus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR986297.1,Katsuwonus pelamis,Actinopterygii,12S rRNA,402,Bay of Bengal,"Katsuwonus pelamis voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR498095.1,Sardinella longiceps,Actinopterygii,COI,684,Laccadive Sea,"Sardinella longiceps voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR355883.1,Scomberomorus commerson,Actinopterygii,12S rRNA,421,Laccadive Sea,"Scomberomorus commerson voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR798206.1,Thunnus albacares,Actinopterygii,COI,637,Bay of Bengal,"Thunnus albacares voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR623351.1,Pampus argenteus,Actinopterygii,COI,682,Laccadive Sea,"Pampus argenteus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR840986.1,Taeniura lymma,Elasmobranchii,CYTB,910,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR745511.1,Pempheris rhomboidea,Actinopterygii,COI,625,Red Sea,"Pempheris rhomboidea voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_866564,Sardinella longiceps,Actinopterygii,Control Region,819,Bay of Bengal,"Sardinella longiceps voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR894123.1,Sphyrna lewini,Elasmobranchii,COI,682,Red Sea,"Sphyrna lewini voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR841539.1,Rastrelliger kanagurta,Actinopterygii,16S rRNA,505,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR401773.1,Pampus argenteus,Actinopterygii,COI,648,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR760690.1,Sardinella longiceps,Actinopterygii,12S rRNA,365,Laccadive Sea,"Sardinella longiceps voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR582539.1,Carcharhinus falciformis,Elasmobranchii,COI,669,Laccadive Sea,"Carcharhinus falciformis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR363369.1,Rhynchobatus djiddensis,Elasmobranchii,COI,704,Laccadive Sea,"Rhynchobatus djiddensis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR463502.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,424,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR539018.1,Galeocerdo cuvier,Elasmobranchii,COI,667,Laccadive Sea,"Galeocerdo cuvier voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR373149.1,Nemipterus japonicus,Actinopterygii,COI,686,Arabian Sea,"Nemipterus japonicus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_744527,Scomberomorus commerson,Actinopterygii,16S rRNA,599,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR157376.1,Sardinella longiceps,Actinopterygii,COI,616,Bay of Bengal,"Sardinella longiceps voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR742404.1,Katsuwonus pelamis,Actinopterygii,Control Region,825,Laccadive Sea,"Katsuwonus pelamis voucher specimen from Laccadive Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR968871.1,Epinephelus coioides,Actinopterygii,COI,629,Bay of Bengal,"Epinephelus coioides voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR993978.1,Lethrinus nebulosus,Actinopterygii,12S rRNA,423,Western Indian Ocean,"Lethrinus nebulosus voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR467133.1,Lutjanus argentimaculatus,Actinopterygii,COI,611,Western Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR256171.1,Sardinella longiceps,Actinopterygii,16S rRNA,546,Western Indian Ocean,"Sardinella longiceps voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR188076.1,Lethrinus nebulosus,Actinopterygii,COI,700,Arabian Sea,"Lethrinus nebulosus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR312808.1,Carcharhinus limbatus,Elasmobranchii,16S rRNA,556,Indian Ocean,"Carcharhinus limbatus voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR161528.1,Epinephelus coioides,Actinopterygii,12S rRNA,440,Red Sea,"Epinephelus coioides voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_601272,Thunnus albacares,Actinopterygii,CYTB,989,Western Indian Ocean,"Thunnus albacares voucher specimen from Western Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR499869.1,Lethrinus nebulosus,Actinopterygii,12S rRNA,418,Red Sea,"Lethrinus nebulosus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR183883.1,Katsuwonus pelamis,Actinopterygii,16S rRNA,554,Bay of Bengal,"Katsuwonus pelamis voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR951023.1,Scomberomorus commerson,Actinopterygii,16S rRNA,554,Indian Ocean,"Scomberomorus commerson voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR388766.1,Galeocerdo cuvier,Elasmobranchii,COI,630,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR816760.1,Sardinella longiceps,Actinopterygii,12S rRNA,367,Western Indian Ocean,"Sardinella longiceps voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR873927.1,Chaetodon pictus,Actinopterygii,COI,669,Arabian Sea,"Chaetodon pictus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR957530.1,Rastrelliger kanagurta,Actinopterygii,COI,604,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR881342.1,Sarda orientalis,Actinopterygii,COI,608,Gulf of Oman,"Sarda orientalis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR522272.1,Carcharhinus limbatus,Elasmobranchii,COI,633,Indian Ocean,"Carcharhinus limbatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_388909,Mobula alfredi,Elasmobranchii,Control Region,1072,Indian Ocean,"Mobula alfredi voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR986899.1,Rastrelliger kanagurta,Actinopterygii,Control Region,956,Laccadive Sea,"Rastrelliger kanagurta voucher specimen from Laccadive Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR237037.1,Nemipterus japonicus,Actinopterygii,COI,697,Arabian Sea,"Nemipterus japonicus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR198637.1,Scomberomorus commerson,Actinopterygii,CYTB,951,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR430224.1,Rastrelliger kanagurta,Actinopterygii,CYTB,1030,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR691662.1,Sardinella longiceps,Actinopterygii,Control Region,999,Bay of Bengal,"Sardinella longiceps voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR859647.1,Galeocerdo cuvier,Elasmobranchii,COI,627,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR960532.1,Lethrinus nebulosus,Actinopterygii,CYTB,886,Arabian Sea,"Lethrinus nebulosus voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR731768.1,Taeniura lymma,Elasmobranchii,16S rRNA,577,Indian Ocean,"Taeniura lymma voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR751151.1,Sarda orientalis,Actinopterygii,12S rRNA,411,Bay of Bengal,"Sarda orientalis voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_850259,Galeocerdo cuvier,Elasmobranchii,COI,667,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR465305.1,Katsuwonus pelamis,Actinopterygii,COI,692,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR924816.1,Pampus argenteus,Actinopterygii,16S rRNA,502,Bay of Bengal,"Pampus argenteus voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR202601.1,Nemipterus japonicus,Actinopterygii,16S rRNA,595,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR743380.1,Thunnus albacares,Actinopterygii,COI,682,Laccadive Sea,"Thunnus albacares voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR550287.1,Pempheris rhomboidea,Actinopterygii,COI,648,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR669519.1,Epinephelus coioides,Actinopterygii,COI,684,Bay of Bengal,"Epinephelus coioides voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR859949.1,Lethrinus nebulosus,Actinopterygii,COI,710,Arabian Sea,"Lethrinus nebulosus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR584697.1,Galeocerdo cuvier,Elasmobranchii,COI,718,Indian Ocean,"Galeocerdo cuvier voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR939208.1,Pampus argenteus,Actinopterygii,CYTB,940,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_557695,Rhynchobatus djiddensis,Elasmobranchii,COI,619,Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR914640.1,Mobula alfredi,Elasmobranchii,COI,659,Laccadive Sea,"Mobula alfredi voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR387922.1,Rhynchobatus djiddensis,Elasmobranchii,COI,719,Gulf of Oman,"Rhynchobatus djiddensis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR900651.1,Nemipterus japonicus,Actinopterygii,16S rRNA,513,Laccadive Sea,"Nemipterus japonicus voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR512936.1,Taeniura lymma,Elasmobranchii,COI,624,Western Indian Ocean,"Taeniura lymma voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR943473.1,Chaetodon pictus,Actinopterygii,12S rRNA,424,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR832353.1,Rastrelliger kanagurta,Actinopterygii,COI,700,Western Indian Ocean,"Rastrelliger kanagurta voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR787236.1,Scomberomorus commerson,Actinopterygii,COI,633,Gulf of Oman,"Scomberomorus commerson voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR975221.1,Lethrinus nebulosus,Actinopterygii,12S rRNA,398,Arabian Sea,"Lethrinus nebulosus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR402209.1,Sarda orientalis,Actinopterygii,12S rRNA,373,Bay of Bengal,"Sarda orientalis voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_557537,Katsuwonus pelamis,Actinopterygii,COI,635,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR205688.1,Rastrelliger kanagurta,Actinopterygii,COI,677,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR257204.1,Chaetodon pictus,Actinopterygii,COI,648,Indian Ocean,"Chaetodon pictus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR567611.1,Carcharhinus limbatus,Elasmobranchii,COI,692,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR152140.1,Lutjanus argentimaculatus,Actinopterygii,COI,612,Arabian Sea,"Lutjanus argentimaculatus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR642411.1,Chaetodon pictus,Actinopterygii,CYTB,1062,Bay of Bengal,"Chaetodon pictus voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR462675.1,Rhynchobatus djiddensis,Elasmobranchii,CYTB,841,Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR528204.1,Chaetodon pictus,Actinopterygii,12S rRNA,427,Indian Ocean,"Chaetodon pictus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR443500.1,Sphyrna lewini,Elasmobranchii,12S rRNA,407,Western Indian Ocean,"Sphyrna lewini voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR924003.1,Carcharhinus falciformis,Elasmobranchii,COI,604,Laccadive Sea,"Carcharhinus falciformis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_916782,Sardinella longiceps,Actinopterygii,12S rRNA,431,Arabian Sea,"Sardinella longiceps voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR753696.1,Chaetodon pictus,Actinopterygii,COI,678,Red Sea,"Chaetodon pictus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR739800.1,Carcharhinus limbatus,Elasmobranchii,COI,656,Gulf of Oman,"Carcharhinus limbatus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR607678.1,Carcharhinus falciformis,Elasmobranchii,Control Region,892,Arabian Sea,"Carcharhinus falciformis voucher specimen from Arabian Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR811262.1,Pampus argenteus,Actinopterygii,COI,663,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR806823.1,Scomberomorus commerson,Actinopterygii,12S rRNA,430,Indian Ocean,"Scomberomorus commerson voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR158079.1,Galeocerdo cuvier,Elasmobranchii,COI,613,Indian Ocean,"Galeocerdo cuvier voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR929772.1,Thunnus albacares,Actinopterygii,12S rRNA,385,Indian Ocean,"Thunnus albacares voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR468062.1,Lutjanus argentimaculatus,Actinopterygii,CYTB,1018,Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR836972.1,Carcharhinus falciformis,Elasmobranchii,CYTB,1091,Western Indian Ocean,"Carcharhinus falciformis voucher specimen from Western Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_459807,Mobula alfredi,Elasmobranchii,12S rRNA,449,Bay of Bengal,"Mobula alfredi voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR953166.1,Pampus argenteus,Actinopterygii,16S rRNA,563,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR809687.1,Lutjanus argentimaculatus,Actinopterygii,COI,655,Gulf of Oman,"Lutjanus argentimaculatus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR181515.1,Carcharhinus falciformis,Elasmobranchii,COI,716,Bay of Bengal,"Carcharhinus falciformis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR170142.1,Carcharhinus falciformis,Elasmobranchii,COI,613,Gulf of Oman,"Carcharhinus falciformis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR893437.1,Katsuwonus pelamis,Actinopterygii,16S rRNA,513,Red Sea,"Katsuwonus pelamis voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR609296.1,Nemipterus japonicus,Actinopterygii,12S rRNA,375,Arabian Sea,"Nemipterus japonicus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR823007.1,Galeocerdo cuvier,Elasmobranchii,COI,665,Bay of Bengal,"Galeocerdo cuvier voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR699191.1,Sarda orientalis,Actinopterygii,COI,687,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR526727.1,Epinephelus coioides,Actinopterygii,Control Region,958,Arabian Sea,"Epinephelus coioides voucher specimen from Arabian Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_980542,Sardinella longiceps,Actinopterygii,COI,694,Red Sea,"Sardinella longiceps voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
